step,candidate,acc,is_best,best_so_far,spec_summary,wall_time
0,0,0.1480,True,0.1480,"stages=[C32x1(batch,silu,stride), C64x2(batch,gelu,maxpool), C128x3(group,silu,stride), C256x2(none,gelu,avgpool)] residual=False drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=step aug=strong",145.8
0,1,0.4616,True,0.4616,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,stride), C128x3(batch,gelu,maxpool), C256x1(group,silu,avgpool)] residual=True drop=0.3 opt=sgd(lr=0.01,wd=0.01) sched=cosine aug=strong",145.8
0,2,0.5047,True,0.5047,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,avgpool), C128x3(none,gelu,maxpool), C256x1(batch,silu,stride)] residual=True drop=0.1 opt=adamw(lr=0.001,wd=0.05) sched=cosine aug=strong",145.8
0,3,0.3822,False,0.5047,"stages=[C32x1(batch,relu,stride), C64x2(group,gelu,maxpool), C128x3(group,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",145.8
1,0,0.4783,False,0.5047,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool), C256x3(none,relu,stride), C128x1(group,gelu,avgpool)] residual=False drop=0.0 opt=sgd(lr=0.01,wd=0.0) sched=none aug=basic",100.7
1,1,0.4069,False,0.5047,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool), C256x3(none,gelu,avgpool), C128x1(batch,relu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=medium",100.7
1,2,0.3972,False,0.5047,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,avgpool), C256x3(none,gelu,maxpool), C128x2(group,silu,stride)] residual=False drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=step aug=medium",100.7
1,3,0.3640,False,0.5047,"stages=[C64x1(batch,gelu,avgpool), C128x2(group,gelu,stride), C256x3(batch,relu,stride)] residual=True drop=0.1 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",100.7
2,0,0.2934,False,0.5047,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,avgpool), C128x3(batch,gelu,stride), C256x2(group,gelu,avgpool)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=medium",100.5
2,1,0.3528,False,0.5047,"stages=[C64x2(batch,gelu,stride), C128x3(group,silu,maxpool), C256x2(none,gelu,avgpool), C256x1(batch,silu,stride)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=medium",100.5
2,2,0.3543,False,0.5047,"stages=[C128x1(batch,gelu,stride), C256x2(group,silu,avgpool), C256x3(none,gelu,maxpool), C256x1(batch,silu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",100.5
2,3,0.4784,False,0.5047,"stages=[C128x1(none,silu,maxpool), C256x2(group,gelu,stride), C128x3(batch,silu,avgpool), C64x1(group,gelu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.0) sched=none aug=basic",100.5
3,0,0.4174,False,0.5047,"stages=[C128x1(group,gelu,stride), C256x2(batch,silu,maxpool), C128x3(none,gelu,avgpool), C64x1(group,relu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",92.9
3,1,0.4239,False,0.5047,"stages=[C64x1(batch,gelu,avgpool), C128x2(group,silu,stride), C256x3(none,gelu,maxpool), C256x1(batch,relu,avgpool)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=basic",92.9
