step,candidate,acc,is_best,best_so_far,spec_summary,wall_time
0,0,0.5040,True,0.5040,"stages=[C256x1(batch,silu,maxpool), C256x2(batch,gelu,avgpool), C64x3(none,gelu,stride), C32x3(batch,silu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.0) sched=step aug=medium",28.8
1,0,0.3725,False,0.5040,"stages=[C32x2(none,gelu,maxpool), C256x3(batch,relu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.0) sched=step aug=strong",36.3
2,0,0.3185,False,0.5040,"stages=[C32x1(batch,relu,avgpool)] residual=False drop=0.2 opt=adamw(lr=0.01,wd=0.001) sched=step aug=none",17.0
3,0,0.1000,False,0.5040,"stages=[C64x2(group,gelu,avgpool), C32x3(none,gelu,maxpool)] residual=True drop=0.1 opt=adamw(lr=0.01,wd=0.05) sched=step aug=strong",36.9
4,0,0.4233,False,0.5040,"stages=[C128x1(group,gelu,maxpool), C64x1(none,relu,maxpool)] residual=False drop=0.0 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=basic",16.8
5,0,0.4967,False,0.5040,"stages=[C128x3(group,silu,avgpool), C32x2(none,silu,stride), C64x1(batch,gelu,stride)] residual=True drop=0.5 opt=adam(lr=0.001,wd=0.0) sched=step aug=basic",22.5
6,0,0.2834,False,0.5040,"stages=[C256x2(none,relu,stride)] residual=False drop=0.2 opt=adamw(lr=0.003,wd=0.0) sched=cosine aug=strong",44.0
7,0,0.2118,False,0.5040,"stages=[C64x2(group,relu,stride), C32x2(group,relu,avgpool), C64x1(none,gelu,maxpool)] residual=True drop=0.5 opt=sgd(lr=0.003,wd=0.0) sched=step aug=none",22.0
8,0,0.1717,False,0.5040,"stages=[C128x2(none,relu,avgpool), C32x1(none,relu,avgpool)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.05) sched=cosine aug=strong",34.2
9,0,0.5402,True,0.5402,"stages=[C128x2(none,relu,avgpool), C32x2(group,gelu,avgpool), C32x2(group,silu,avgpool), C32x3(batch,relu,avgpool)] residual=False drop=0.1 opt=adam(lr=0.001,wd=0.001) sched=none aug=none",17.6
10,0,0.2156,False,0.5402,"stages=[C256x2(group,relu,stride)] residual=False drop=0.2 opt=adam(lr=0.01,wd=0.001) sched=none aug=strong",28.1
11,0,0.3558,False,0.5402,"stages=[C256x2(group,silu,stride), C64x3(batch,silu,avgpool), C64x1(batch,gelu,stride), C32x3(group,silu,stride)] residual=False drop=0.3 opt=adamw(lr=0.01,wd=0.001) sched=step aug=none",21.9
12,0,0.1725,False,0.5402,"stages=[C128x3(group,silu,maxpool), C64x2(none,gelu,maxpool), C128x3(batch,silu,avgpool), C64x3(none,silu,avgpool)] residual=False drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=none aug=basic",22.6
