step,candidate,acc,is_best,best_so_far,spec_summary,wall_time
0,0,0.2718,True,0.2718,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(batch,gelu,avgpool), C256x2(group,silu,stride)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=step aug=strong",45.1
1,0,0.4366,True,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.9
2,0,0.4321,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.5
3,0,0.4297,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.9
4,0,0.4365,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.2
5,0,0.4255,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.4
6,0,0.4267,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.1
7,0,0.4270,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.5
8,0,0.4196,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",48.0
9,0,0.4208,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",48.2
10,0,0.4203,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",48.1
11,0,0.4188,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",48.1
12,0,0.4239,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.4
13,0,0.4303,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.3
14,0,0.4349,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.6
15,0,0.4194,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.1
16,0,0.4137,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.5
17,0,0.4361,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.9
18,0,0.4233,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.5
19,0,0.4316,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.6
20,0,0.4259,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",46.8
21,0,0.4200,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",46.9
22,0,0.4215,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.1
23,0,0.4230,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.4
24,0,0.4241,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.7
25,0,0.4114,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",46.8
26,0,0.4236,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.1
27,0,0.4185,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",47.8
28,0,0.4316,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",48.6
29,0,0.4316,False,0.4366,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",48.5
