step,candidate,acc,is_best,best_so_far,spec_summary,wall_time
0,0,0.3733,True,0.3733,"stages=[C32x1(group,gelu,stride), C64x2(group,gelu,stride), C128x1(group,gelu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",43.9
1,0,0.4156,True,0.4156,"stages=[C64x1(batch,relu,maxpool), C128x2(batch,relu,stride), C256x3(batch,relu,avgpool), C128x1(batch,relu,stride)] residual=False drop=0.1 opt=sgd(lr=0.001,wd=0.001) sched=none aug=basic",46.8
2,0,0.2839,False,0.4156,"stages=[C32x1(none,silu,maxpool), C64x2(group,gelu,stride), C128x3(batch,relu,stride), C256x2(group,gelu,avgpool)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=strong",73.3
3,0,0.4008,False,0.4156,"stages=[C32x1(batch,gelu,stride), C64x2(batch,gelu,stride), C128x3(group,gelu,stride), C256x2(batch,gelu,avgpool)] residual=False drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=strong",59.4
4,0,0.3791,False,0.4156,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool), C256x3(none,relu,stride), C128x1(group,gelu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.001) sched=step aug=medium",45.6
5,0,0.2856,False,0.4156,"stages=[C256x2(group,gelu,stride), C256x3(batch,silu,maxpool), C256x2(none,relu,avgpool), C128x1(group,gelu,stride)] residual=False drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=strong",52.6
6,0,0.3277,False,0.4156,"stages=[C32x1(batch,relu,stride), C128x3(none,relu,avgpool), C128x3(none,silu,stride)] residual=True drop=0.2 opt=adam(lr=0.001,wd=0.01) sched=none aug=medium",68.7
7,0,0.4408,True,0.4408,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,stride), C128x3(none,gelu,maxpool), C256x2(group,silu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",45.5
8,0,0.4485,True,0.4485,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool), C256x3(batch,relu,avgpool), C128x1(none,gelu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=basic",55.8
9,0,0.4780,True,0.4780,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,avgpool), C256x3(batch,relu,stride), C128x1(none,gelu,maxpool)] residual=True drop=0.1 opt=adam(lr=0.001,wd=0.001) sched=step aug=none",47.9
10,0,0.4381,False,0.4780,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(none,relu,avgpool), C256x1(batch,gelu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=medium",46.9
11,0,0.2607,False,0.4780,"stages=[C32x1(none,gelu,maxpool), C64x2(batch,silu,stride), C128x3(group,gelu,avgpool), C256x2(none,relu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=strong",61.0
12,0,0.4690,False,0.4780,"stages=[C128x1(batch,gelu,stride), C256x2(group,silu,maxpool), C256x1(none,gelu,avgpool), C256x2(group,silu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.001) sched=none aug=strong",58.8
13,0,0.3330,False,0.4780,"stages=[C32x1(none,gelu,stride), C64x2(group,silu,maxpool), C128x3(batch,gelu,stride), C256x2(none,relu,avgpool)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=step aug=strong",63.8
14,0,0.4247,False,0.4780,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(none,gelu,avgpool), C256x2(group,silu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",54.6
15,0,0.4065,False,0.4780,"stages=[C32x1(batch,gelu,avgpool), C64x2(group,silu,stride), C128x3(batch,relu,maxpool), C256x2(group,gelu,avgpool)] residual=True drop=0.0 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=strong",71.9
16,0,0.4303,False,0.4780,"stages=[C64x1(batch,gelu,stride), C128x2(group,gelu,avgpool), C256x3(batch,relu,stride), C128x1(group,gelu,maxpool)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",65.7
17,0,0.3755,False,0.4780,"stages=[C32x1(group,relu,stride), C64x2(batch,gelu,stride), C128x3(none,silu,avgpool), C256x2(group,relu,maxpool)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.001) sched=step aug=medium",56.4
18,0,0.5100,True,0.5100,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(none,silu,avgpool), C256x1(group,relu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=basic",47.7
19,0,0.3568,False,0.5100,"stages=[C128x1(batch,gelu,avgpool), C256x2(group,silu,stride), C256x3(none,relu,maxpool)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=strong",75.3
