step,candidate,acc,is_best,best_so_far,spec_summary,wall_time
0,0,0.2211,True,0.2211,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(batch,gelu,stride), C256x2(group,silu,avgpool)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.05) sched=cosine aug=strong",78.9
0,1,0.1993,False,0.2211,"stages=[C32x1(batch,silu,stride), C64x2(group,gelu,avgpool), C128x3(batch,relu,maxpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.05) sched=step aug=strong",78.9
0,2,0.4607,True,0.4607,"stages=[C64x1(batch,gelu,stride), C128x2(group,gelu,maxpool), C256x3(batch,silu,avgpool), C128x1(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=step aug=strong",78.9
0,3,0.2345,False,0.4607,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.05) sched=step aug=strong",78.9
1,0,0.4233,False,0.4607,"stages=[C128x1(group,gelu,maxpool), C64x1(none,relu,maxpool)] residual=False drop=0.0 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=basic",86.8
1,1,0.4967,True,0.4967,"stages=[C128x3(group,silu,avgpool), C32x2(none,silu,stride), C64x1(batch,gelu,stride)] residual=True drop=0.5 opt=adam(lr=0.001,wd=0.0) sched=step aug=basic",86.8
1,2,0.4763,False,0.4967,"stages=[C128x1(batch,relu,stride), C256x2(group,gelu,avgpool), C256x3(batch,silu,maxpool), C256x1(group,relu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.0) sched=cosine aug=medium",86.8
1,3,0.1000,False,0.4967,"stages=[C32x1(none,silu,maxpool), C64x2(none,gelu,stride), C128x3(none,silu,avgpool), C256x2(none,gelu,maxpool)] residual=False drop=0.3 opt=sgd(lr=0.001,wd=0.01) sched=cosine aug=medium",86.8
2,0,0.3015,False,0.4967,"stages=[C256x3(batch,gelu,avgpool), C128x2(batch,gelu,stride), C64x1(batch,gelu,avgpool), C32x1(batch,gelu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=strong",103.0
2,1,0.3627,False,0.4967,"stages=[C256x3(group,gelu,stride), C256x3(group,gelu,stride), C256x2(group,gelu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.001) sched=cosine aug=strong",103.0
