step,candidate,acc,is_best,best_so_far,spec_summary,wall_time
0,0,0.5042,True,0.5042,"stages=[C256x1(batch,silu,maxpool), C256x2(batch,gelu,avgpool), C64x3(none,gelu,stride), C32x3(batch,silu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.0) sched=step aug=medium",138.5
0,1,0.2514,False,0.5042,"stages=[C32x1(none,silu,stride), C64x2(batch,gelu,maxpool), C128x3(group,silu,avgpool), C256x2(none,gelu,stride)] residual=False drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=basic",138.5
0,2,0.2973,False,0.5042,"stages=[C128x1(batch,silu,stride), C256x2(batch,gelu,maxpool), C128x1(group,silu,stride), C64x2(group,gelu,avgpool)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=step aug=strong",138.5
0,3,0.4174,False,0.5042,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,stride), C128x3(group,relu,maxpool), C256x2(none,gelu,stride)] residual=True drop=0.2 opt=sgd(lr=0.01,wd=0.01) sched=step aug=medium",138.5
1,0,0.3468,False,0.5042,"stages=[C64x2(group,gelu,stride), C128x3(batch,silu,maxpool), C256x2(group,relu,avgpool), C32x1(none,gelu,stride)] residual=False drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=basic",116.0
1,1,0.5360,True,0.5360,"stages=[C32x1(none,relu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x1(none,gelu,stride)] residual=True drop=0.1 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",116.0
1,2,0.3786,False,0.5360,"stages=[C64x1(batch,silu,stride), C128x2(group,gelu,stride), C256x3(none,relu,avgpool), C128x1(batch,silu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.0) sched=cosine aug=strong",116.0
1,3,0.3170,False,0.5360,"stages=[C256x2(batch,gelu,stride), C128x3(group,silu,avgpool)] residual=True drop=0.1 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=basic",116.0
2,0,0.4952,False,0.5360,"stages=[C64x1(batch,silu,stride), C128x2(group,gelu,maxpool), C256x3(none,relu,avgpool), C256x1(batch,gelu,stride)] residual=True drop=0.3 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=strong",133.7
2,1,0.5435,True,0.5435,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,stride), C256x3(none,relu,avgpool), C256x1(batch,gelu,maxpool)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",133.7
2,2,0.5442,True,0.5442,"stages=[C256x3(group,gelu,maxpool), C128x2(batch,silu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",133.7
2,3,0.2469,False,0.5442,"stages=[C64x1(none,relu,stride), C128x2(group,gelu,stride), C256x3(batch,silu,avgpool), C128x2(none,relu,maxpool)] residual=False drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=step aug=basic",133.7
3,0,0.1725,False,0.5442,"stages=[C128x3(group,silu,maxpool), C64x2(none,gelu,maxpool), C128x3(batch,silu,avgpool), C64x3(none,silu,avgpool)] residual=False drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=none aug=basic",145.3
3,1,0.1024,False,0.5442,"stages=[C32x1(none,gelu,stride), C64x2(batch,silu,maxpool), C128x3(group,gelu,avgpool), C256x2(none,silu,stride)] residual=False drop=0.5 opt=sgd(lr=0.003,wd=0.01) sched=step aug=strong",145.3
3,2,0.3968,False,0.5442,"stages=[C32x1(none,relu,stride), C64x2(batch,gelu,stride), C128x3(group,silu,avgpool), C256x2(none,relu,maxpool)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=step aug=basic",145.3
3,3,0.3643,False,0.5442,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(group,gelu,avgpool)] residual=True drop=0.3 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=strong",145.3
4,0,0.4094,False,0.5442,"stages=[C64x1(batch,silu,stride), C128x2(group,gelu,stride), C256x3(none,relu,avgpool), C128x1(batch,gelu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.0) sched=step aug=medium",124.9
4,1,0.2676,False,0.5442,"stages=[C64x1(batch,gelu,stride), C128x2(group,relu,stride), C256x3(none,silu,maxpool), C128x1(batch,gelu,stride)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=medium",124.9
4,2,0.3966,False,0.5442,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,stride), C256x3(none,relu,maxpool), C128x1(batch,gelu,avgpool)] residual=False drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=strong",124.9
4,3,0.3602,False,0.5442,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,avgpool), C256x3(none,relu,stride), C256x1(batch,gelu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=basic",124.9
5,0,0.5109,False,0.5442,"stages=[C64x1(batch,relu,stride), C128x3(group,gelu,avgpool), C256x2(none,silu,maxpool), C128x1(batch,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",130.2
5,1,0.3596,False,0.5442,"stages=[C64x2(batch,gelu,stride), C128x3(group,silu,stride), C256x2(none,relu,avgpool), C128x1(batch,gelu,avgpool)] residual=False drop=0.1 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=strong",130.2
5,2,0.4453,False,0.5442,"stages=[C128x3(batch,gelu,stride), C256x2(batch,gelu,stride), C256x3(batch,gelu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.001) sched=cosine aug=medium",130.2
5,3,0.4241,False,0.5442,"stages=[C64x2(batch,silu,stride), C128x3(group,gelu,maxpool), C256x2(none,relu,avgpool), C128x1(batch,gelu,stride)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.0) sched=cosine aug=medium",130.2
6,0,0.2921,False,0.5442,"stages=[C64x1(batch,gelu,avgpool), C128x2(group,silu,stride), C256x3(none,relu,maxpool)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.001) sched=cosine aug=strong",129.9
6,1,0.4019,False,0.5442,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(group,relu,avgpool), C256x2(none,gelu,stride)] residual=True drop=0.1 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",129.9
6,2,0.2883,False,0.5442,"stages=[C64x1(batch,relu,stride), C128x2(group,gelu,stride), C256x3(none,silu,avgpool), C128x1(batch,relu,stride)] residual=False drop=0.1 opt=sgd(lr=0.003,wd=0.0) sched=step aug=strong",129.9
6,3,0.4341,False,0.5442,"stages=[C32x1(none,relu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(none,relu,stride)] residual=True drop=0.5 opt=adam(lr=0.003,wd=0.001) sched=cosine aug=medium",129.9
7,0,0.4565,False,0.5442,"stages=[C64x1(group,gelu,stride), C128x2(batch,silu,maxpool), C256x3(group,relu,avgpool), C256x1(none,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",128.3
7,1,0.2693,False,0.5442,"stages=[C32x1(none,silu,stride), C64x2(batch,gelu,stride), C128x3(group,gelu,avgpool)] residual=False drop=0.1 opt=adam(lr=0.003,wd=0.01) sched=step aug=basic",128.3
7,2,0.2255,False,0.5442,"stages=[C128x1(group,gelu,stride), C256x2(batch,silu,stride), C128x3(group,gelu,maxpool), C64x1(none,relu,avgpool)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=step aug=strong",128.3
7,3,0.3324,False,0.5442,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(group,gelu,avgpool), C256x2(batch,relu,stride)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=medium",128.3
8,0,0.2430,False,0.5442,"stages=[C32x1(batch,relu,stride), C64x2(group,gelu,maxpool), C128x3(none,silu,avgpool), C64x1(batch,relu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.05) sched=step aug=strong",163.1
8,1,0.3397,False,0.5442,"stages=[C64x2(batch,silu,avgpool), C64x3(group,silu,maxpool)] residual=False drop=0.3 opt=adamw(lr=0.003,wd=0.0) sched=cosine aug=strong",163.1
8,2,0.3779,False,0.5442,"stages=[C128x3(batch,gelu,stride), C256x2(batch,gelu,stride), C256x3(batch,gelu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.001) sched=cosine aug=strong",163.1
8,3,0.5228,False,0.5442,"stages=[C64x1(batch,relu,stride), C128x2(group,gelu,stride), C256x3(none,relu,avgpool), C64x1(batch,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=basic",163.1
9,0,0.3888,False,0.5442,"stages=[C32x1(none,relu,stride), C64x2(group,gelu,stride), C128x3(batch,silu,avgpool), C256x2(none,relu,maxpool)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=basic",115.5
9,1,0.3619,False,0.5442,"stages=[C64x3(group,silu,stride), C128x3(batch,gelu,maxpool), C256x2(group,relu,avgpool), C256x1(none,gelu,stride)] residual=True drop=0.1 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=basic",115.5
9,2,0.4138,False,0.5442,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,stride), C128x3(group,gelu,avgpool), C256x2(none,relu,maxpool)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=step aug=basic",115.5
9,3,0.4552,False,0.5442,"stages=[C64x1(group,silu,stride), C128x2(batch,gelu,maxpool), C256x3(group,silu,avgpool), C128x1(batch,relu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=step aug=basic",115.5
10,0,0.3615,False,0.5442,"stages=[C64x1(batch,gelu,maxpool), C128x2(group,silu,stride), C256x3(batch,relu,stride), C256x1(group,gelu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=strong",138.3
10,1,0.4851,False,0.5442,"stages=[C32x1(none,relu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=basic",138.3
10,2,0.3680,False,0.5442,"stages=[C64x1(batch,gelu,stride), C128x3(group,silu,stride), C256x2(none,relu,maxpool), C128x1(batch,gelu,stride)] residual=True drop=0.1 opt=adam(lr=0.003,wd=0.001) sched=cosine aug=strong",138.3
10,3,0.4437,False,0.5442,"stages=[C64x1(batch,gelu,stride), C128x2(group,gelu,stride), C256x3(none,relu,avgpool), C128x1(batch,gelu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=step aug=basic",138.3
11,0,0.4006,False,0.5442,"stages=[C64x2(group,gelu,stride), C128x3(batch,silu,maxpool), C256x2(group,gelu,avgpool), C256x1(none,relu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=basic",137.6
11,1,0.3740,False,0.5442,"stages=[C32x1(batch,relu,stride), C64x2(group,gelu,stride), C128x3(none,silu,maxpool), C64x2(batch,relu,avgpool)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=step aug=strong",137.6
11,2,0.3759,False,0.5442,"stages=[C64x2(group,gelu,stride), C128x3(batch,silu,maxpool), C256x2(group,gelu,avgpool), C128x1(none,relu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=step aug=medium",137.6
11,3,0.3647,False,0.5442,"stages=[C32x1(batch,silu,maxpool), C64x2(batch,silu,stride), C128x3(batch,silu,avgpool)] residual=False drop=0.1 opt=sgd(lr=0.003,wd=0.01) sched=step aug=strong",137.6
12,0,0.3635,False,0.5442,"stages=[C64x1(batch,gelu,stride), C128x2(group,gelu,stride), C256x3(group,gelu,avgpool), C256x1(batch,gelu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=medium",125.7
