step,candidate,acc,is_best,best_so_far,spec_summary,wall_time
0,0,0.5044,True,0.5044,"stages=[C256x1(batch,silu,maxpool), C256x2(batch,gelu,avgpool), C64x3(none,gelu,stride), C32x3(batch,silu,avgpool)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.0) sched=step aug=medium",167.1
0,1,0.1743,False,0.5044,"stages=[C128x2(batch,silu,stride), C256x3(batch,silu,maxpool), C256x2(batch,silu,avgpool), C256x1(batch,silu,stride)] residual=False drop=0.1 opt=adam(lr=0.01,wd=0.05) sched=cosine aug=strong",167.1
0,2,0.3932,False,0.5044,"stages=[C32x1(group,silu,stride), C64x2(group,silu,maxpool), C128x3(group,silu,avgpool), C256x2(group,silu,stride)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.01) sched=step aug=strong",167.1
0,3,0.2177,False,0.5044,"stages=[C32x1(none,relu,stride), C64x2(group,gelu,stride), C128x3(batch,silu,maxpool), C256x2(group,gelu,avgpool)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.05) sched=cosine aug=strong",167.1
1,0,0.4414,False,0.5044,"stages=[C64x1(group,gelu,stride), C128x2(batch,silu,maxpool), C256x3(group,gelu,avgpool), C256x1(none,silu,stride)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=basic",113.8
1,1,0.2436,False,0.5044,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool), C256x3(batch,gelu,avgpool), C256x1(none,relu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.05) sched=cosine aug=basic",113.8
1,2,0.3267,False,0.5044,"stages=[C64x1(group,gelu,stride), C128x2(batch,silu,maxpool), C256x3(group,gelu,avgpool), C128x1(none,relu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.05) sched=cosine aug=basic",113.8
1,3,0.1000,False,0.5044,"stages=[C64x1(none,gelu,stride), C128x2(none,gelu,maxpool), C256x3(none,gelu,avgpool)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=basic",113.8
2,0,0.4557,False,0.5044,"stages=[C64x2(batch,relu,stride), C128x3(group,gelu,maxpool), C256x2(batch,silu,avgpool)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=basic",124.7
2,1,0.4144,False,0.5044,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool), C256x3(none,gelu,avgpool), C128x1(batch,relu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=medium",124.7
2,2,0.4025,False,0.5044,"stages=[C64x1(batch,gelu,avgpool), C128x2(group,silu,stride), C256x3(none,relu,maxpool), C64x1(batch,gelu,stride)] residual=True drop=0.1 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=medium",124.7
2,3,0.3547,False,0.5044,"stages=[C256x2(group,silu,stride), C64x3(batch,silu,avgpool), C64x1(batch,gelu,stride), C32x3(group,silu,stride)] residual=False drop=0.3 opt=adamw(lr=0.01,wd=0.001) sched=step aug=none",124.7
3,0,0.2759,False,0.5044,"stages=[C64x1(batch,gelu,stride), C128x2(group,gelu,stride), C256x3(group,gelu,avgpool), C128x1(none,silu,maxpool)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=strong",150.0
3,1,0.3039,False,0.5044,"stages=[C32x1(none,gelu,stride), C64x2(group,silu,stride), C128x3(batch,gelu,maxpool), C256x2(group,silu,avgpool)] residual=True drop=0.2 opt=sgd(lr=0.001,wd=0.01) sched=cosine aug=strong",150.0
3,2,0.3457,False,0.5044,"stages=[C32x2(group,gelu,stride), C64x3(batch,silu,maxpool), C128x2(group,gelu,avgpool), C256x1(none,silu,stride)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=medium",150.0
3,3,0.5097,True,0.5097,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool), C256x3(none,relu,avgpool), C256x1(batch,gelu,stride)] residual=True drop=0.2 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=medium",150.0
4,0,0.1000,False,0.5097,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(group,gelu,avgpool), C256x2(none,relu,stride)] residual=True drop=0.1 opt=adamw(lr=0.003,wd=0.05) sched=step aug=basic",123.3
4,1,0.3191,False,0.5097,"stages=[C32x1(batch,relu,avgpool), C64x2(group,gelu,stride), C128x3(batch,relu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=medium",123.3
4,2,0.2403,False,0.5097,"stages=[C128x2(batch,gelu,avgpool), C256x3(group,silu,stride), C256x2(none,relu,avgpool)] residual=True drop=0.1 opt=adam(lr=0.001,wd=0.05) sched=cosine aug=medium",123.3
4,3,0.4720,False,0.5097,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(none,relu,avgpool), C256x1(batch,gelu,stride)] residual=True drop=0.2 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=medium",123.3
5,0,0.4336,False,0.5097,"stages=[C128x1(batch,gelu,avgpool), C256x2(group,silu,stride), C256x3(none,relu,maxpool), C128x1(batch,gelu,avgpool)] residual=True drop=0.1 opt=adam(lr=0.003,wd=0.001) sched=cosine aug=strong",155.1
5,1,0.3758,False,0.5097,"stages=[C64x2(group,silu,maxpool), C128x3(group,silu,maxpool), C256x2(group,silu,avgpool)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.001) sched=cosine aug=strong",155.1
5,2,0.2303,False,0.5097,"stages=[C32x1(batch,gelu,avgpool), C64x2(group,silu,stride), C128x3(batch,gelu,maxpool), C256x2(group,relu,avgpool)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.05) sched=cosine aug=strong",155.1
5,3,0.3663,False,0.5097,"stages=[C128x2(batch,gelu,stride), C256x3(group,silu,maxpool), C256x2(none,relu,avgpool), C256x1(batch,gelu,stride)] residual=True drop=0.1 opt=adam(lr=0.003,wd=0.05) sched=cosine aug=basic",155.1
6,0,0.2285,False,0.5097,"stages=[C32x1(none,gelu,stride), C64x2(group,silu,stride), C128x3(batch,gelu,maxpool), C256x2(none,relu,avgpool)] residual=False drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=medium",124.6
6,1,0.4767,False,0.5097,"stages=[C32x1(none,silu,stride), C64x2(group,gelu,maxpool), C128x3(batch,relu,avgpool), C256x2(group,silu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.001) sched=step aug=basic",124.6
6,2,0.4105,False,0.5097,"stages=[C32x1(batch,relu,stride), C64x2(group,gelu,stride), C128x3(none,silu,maxpool), C256x2(batch,relu,avgpool)] residual=False drop=0.1 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=strong",124.6
6,3,0.2945,False,0.5097,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(none,relu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.05) sched=cosine aug=basic",124.6
7,0,0.4505,False,0.5097,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(none,relu,avgpool), C256x2(batch,gelu,stride)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=strong",133.5
7,1,0.4204,False,0.5097,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(none,relu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",133.5
7,2,0.4833,False,0.5097,"stages=[C32x1(none,gelu,maxpool), C64x2(batch,silu,stride), C128x3(group,gelu,avgpool), C256x2(none,relu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",133.5
7,3,0.3247,False,0.5097,"stages=[C64x2(batch,gelu,stride), C128x3(group,silu,maxpool), C256x2(none,relu,avgpool), C256x1(group,gelu,stride)] residual=True drop=0.1 opt=adam(lr=0.003,wd=0.01) sched=step aug=basic",133.5
8,0,0.3274,False,0.5097,"stages=[C128x2(group,relu,stride), C256x3(group,relu,maxpool), C256x2(group,relu,avgpool)] residual=True drop=0.2 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=medium",136.5
8,1,0.4698,False,0.5097,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(group,relu,avgpool), C256x1(none,gelu,stride)] residual=True drop=0.1 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",136.5
8,2,0.3858,False,0.5097,"stages=[C64x1(none,gelu,avgpool), C128x2(batch,silu,stride), C256x3(group,gelu,stride), C128x1(none,relu,stride)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=basic",136.5
8,3,0.3601,False,0.5097,"stages=[C64x1(batch,relu,stride), C128x2(group,gelu,maxpool), C256x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=False drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=strong",136.5
9,0,0.4752,False,0.5097,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(none,relu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.1 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",137.2
9,1,0.2618,False,0.5097,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(batch,gelu,stride), C256x2(group,silu,avgpool)] residual=False drop=0.1 opt=adam(lr=0.003,wd=0.01) sched=step aug=strong",137.2
9,2,0.4537,False,0.5097,"stages=[C32x1(batch,gelu,avgpool), C64x2(group,silu,stride), C128x3(none,relu,maxpool), C256x1(group,gelu,stride)] residual=True drop=0.3 opt=adamw(lr=0.001,wd=0.05) sched=cosine aug=strong",137.2
9,3,0.5635,True,0.5635,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(batch,gelu,avgpool), C256x1(none,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",137.2
10,0,0.3730,False,0.5635,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(group,silu,avgpool), C256x1(none,gelu,stride)] residual=True drop=0.1 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",110.6
10,1,0.4304,False,0.5635,"stages=[C64x1(batch,silu,maxpool), C128x2(batch,silu,stride), C256x3(batch,silu,avgpool)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.01) sched=step aug=medium",110.6
10,2,0.3917,False,0.5635,"stages=[C64x1(group,gelu,stride), C128x3(group,silu,maxpool), C256x2(none,gelu,avgpool), C256x1(group,relu,stride)] residual=True drop=0.2 opt=adam(lr=0.003,wd=0.001) sched=step aug=basic",110.6
10,3,0.5258,False,0.5635,"stages=[C64x1(none,gelu,stride), C128x2(group,silu,maxpool), C256x3(batch,relu,avgpool), C128x1(group,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.001) sched=cosine aug=medium",110.6
11,0,0.4914,False,0.5635,"stages=[C64x1(batch,gelu,stride), C128x2(group,silu,maxpool), C256x3(batch,gelu,avgpool), C256x1(group,silu,stride)] residual=True drop=0.2 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",143.0
11,1,0.4382,False,0.5635,"stages=[C256x2(batch,relu,maxpool), C128x1(none,gelu,stride), C32x2(none,gelu,avgpool)] residual=True drop=0.5 opt=adamw(lr=0.001,wd=0.001) sched=cosine aug=basic",143.0
11,2,0.4089,False,0.5635,"stages=[C32x1(batch,gelu,maxpool), C64x2(group,gelu,stride), C128x3(none,silu,avgpool), C256x1(batch,relu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=step aug=strong",143.0
11,3,0.3432,False,0.5635,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(group,gelu,avgpool), C256x1(none,gelu,stride)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=medium",143.0
12,0,0.4817,False,0.5635,"stages=[C32x1(batch,silu,stride), C64x1(batch,silu,stride), C128x1(batch,silu,stride), C256x1(batch,silu,stride)] residual=True drop=0.3 opt=adamw(lr=0.003,wd=0.01) sched=cosine aug=medium",154.3
12,1,0.5092,False,0.5635,"stages=[C64x1(batch,gelu,stride), C128x3(group,gelu,avgpool), C256x2(none,relu,maxpool), C128x1(batch,gelu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",154.3
12,2,0.3617,False,0.5635,"stages=[C64x1(batch,silu,stride), C128x2(batch,silu,maxpool), C256x3(batch,silu,avgpool), C128x2(batch,silu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.05) sched=step aug=strong",154.3
12,3,0.4109,False,0.5635,"stages=[C32x1(batch,gelu,avgpool), C64x2(group,silu,stride), C128x3(batch,gelu,maxpool), C256x1(group,relu,avgpool)] residual=True drop=0.2 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=strong",154.3
13,0,0.3265,False,0.5635,"stages=[C32x1(batch,relu,stride), C64x2(group,gelu,maxpool), C128x3(batch,silu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.3 opt=adam(lr=0.003,wd=0.01) sched=cosine aug=medium",130.7
13,1,0.3602,False,0.5635,"stages=[C32x1(batch,relu,avgpool), C64x2(group,gelu,stride), C128x3(batch,gelu,avgpool), C256x2(group,relu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.05) sched=cosine aug=strong",130.7
13,2,0.4402,False,0.5635,"stages=[C64x1(batch,relu,stride), C128x2(group,gelu,maxpool), C256x3(batch,silu,avgpool), C256x1(group,gelu,stride)] residual=True drop=0.1 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=medium",130.7
13,3,0.4648,False,0.5635,"stages=[C64x1(group,gelu,stride), C128x2(batch,silu,maxpool), C256x3(group,gelu,avgpool), C256x1(none,silu,stride)] residual=True drop=0.2 opt=adamw(lr=0.001,wd=0.01) sched=cosine aug=medium",130.7
14,0,0.3782,False,0.5635,"stages=[C64x1(group,gelu,stride), C128x2(batch,silu,maxpool), C256x3(group,relu,avgpool), C256x1(none,gelu,stride)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=strong",149.2
14,1,0.2992,False,0.5635,"stages=[C32x1(group,gelu,stride), C64x2(batch,silu,maxpool), C128x3(group,gelu,avgpool), C256x1(none,relu,stride)] residual=False drop=0.3 opt=sgd(lr=0.003,wd=0.01) sched=cosine aug=basic",149.2
14,2,0.3822,False,0.5635,"stages=[C64x1(batch,gelu,maxpool), C128x2(group,gelu,stride), C256x3(none,silu,avgpool), C128x1(group,gelu,stride)] residual=True drop=0.3 opt=sgd(lr=0.003,wd=0.0) sched=cosine aug=strong",149.2
14,3,0.3891,False,0.5635,"stages=[C256x1(batch,gelu,stride), C256x2(group,silu,maxpool), C256x1(none,relu,avgpool)] residual=True drop=0.1 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=medium",149.2
15,0,0.3138,False,0.5635,"stages=[C32x1(batch,gelu,stride), C64x2(group,gelu,maxpool), C128x3(none,silu,avgpool), C256x1(batch,gelu,stride)] residual=False drop=0.1 opt=adam(lr=0.003,wd=0.001) sched=cosine aug=strong",141.3
15,1,0.3346,False,0.5635,"stages=[C32x1(none,gelu,stride), C64x2(group,silu,stride), C128x3(batch,gelu,avgpool), C256x2(none,silu,maxpool)] residual=True drop=0.1 opt=sgd(lr=0.003,wd=0.001) sched=cosine aug=strong",141.3
