step,candidate,acc,is_best,best_so_far,spec_summary,wall_time
0,0,0.3399,True,0.3399,"stages=[C128x1(group,gelu,stride), C256x2(batch,silu,stride), C256x3(group,gelu,avgpool)] residual=True drop=0.2 opt=sgd(lr=0.001,wd=0.01) sched=step aug=strong",147.6
0,1,0.2933,False,0.3399,"stages=[C32x1(batch,silu,stride), C64x2(batch,gelu,maxpool), C128x1(group,gelu,avgpool)] residual=False drop=0.2 opt=sgd(lr=0.001,wd=0.01) sched=step aug=strong",147.6
0,2,0.4606,True,0.4606,"stages=[C64x1(batch,silu,stride), C128x2(batch,silu,maxpool), C256x3(batch,silu,stride), C128x2(batch,silu,maxpool)] residual=True drop=0.2 opt=adam(lr=0.0003,wd=0.01) sched=cosine aug=strong",147.6
0,3,0.3000,False,0.4606,"stages=[C64x1(batch,gelu,stride), C128x3(group,silu,maxpool), C256x2(none,relu,avgpool), C128x1(batch,gelu,stride)] residual=True drop=0.2 opt=sgd(lr=0.001,wd=0.05) sched=step aug=strong",147.6
1,0,0.2880,False,0.4606,"stages=[C64x1(batch,silu,stride), C128x2(batch,gelu,maxpool), C256x3(group,silu,avgpool), C128x1(none,relu,stride)] residual=True drop=0.1 opt=sgd(lr=0.001,wd=0.05) sched=cosine aug=medium",97.3
1,1,0.3344,False,0.4606,"stages=[C32x1(none,gelu,stride), C64x2(group,silu,maxpool), C128x3(batch,relu,avgpool), C256x2(none,gelu,stride)] residual=True drop=0.3 opt=adam(lr=0.001,wd=0.05) sched=cosine aug=medium",97.3
1,2,0.4313,False,0.4606,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(batch,gelu,avgpool), C256x2(group,silu,stride)] residual=True drop=0.2 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=medium",97.3
1,3,0.1690,False,0.4606,"stages=[C64x1(group,silu,stride), C128x2(group,gelu,maxpool), C256x3(group,silu,stride), C128x1(none,relu,avgpool)] residual=True drop=0.3 opt=sgd(lr=0.0001,wd=0.05) sched=step aug=medium",97.3
2,0,0.1440,False,0.4606,"stages=[C64x1(none,silu,stride), C128x2(group,gelu,maxpool), C256x3(batch,relu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=sgd(lr=0.0001,wd=0.05) sched=cosine aug=medium",103.2
2,1,0.4454,False,0.4606,"stages=[C32x1(batch,gelu,stride), C64x2(group,silu,maxpool), C128x3(batch,relu,avgpool), C256x2(group,gelu,stride)] residual=True drop=0.2 opt=adam(lr=0.001,wd=0.01) sched=cosine aug=medium",103.2
2,2,0.2167,False,0.4606,"stages=[C128x1(batch,gelu,stride), C256x2(group,silu,maxpool), C128x1(none,relu,avgpool)] residual=True drop=0.3 opt=sgd(lr=0.0003,wd=0.01) sched=cosine aug=medium",103.2
